student_id,total_risk,risk_rank
pjxyqwbj673,0.7681,1
pjxyqwbj276,0.7369,2
pjxyqxbk217,0.7046,3
pjxyqwbk551,0.7045,4
pjxrqxbj988,0.6841,5
pjxuqwbj594,0.6803,6
pjxyqxbk140,0.6782,7
pjxyqxbj762,0.6776,8
pjxyqwbj409,0.6716,9
pjwtqxbj971,0.6623,10
pjxyqxbj448,0.6587,11
pjxuzvbj991,0.6535,12
pjxyqwbj825,0.6453,13
pjxyqxbj718,0.6453,14
pjxqzxbj967,0.6452,15
pjxyqwbk686,0.645,16
pjxyqxbk685,0.6397,17
pjxyqwbj288,0.6368,18
pjxyqxbl755,0.6364,19
pjxyqwbj397,0.6331,20
pjxwxxbj963,0.6317,21
pjxyqxbj048,0.6299,22
pjxuqwbj861,0.6292,23
pjxyqwbj542,0.629,24
pjxyqxbk257,0.6288,25
pjxyqwbj659,0.6281,26
pjxuqwbj974,0.6257,27
pjxuqwbj497,0.625,28
pjxyqwbj149,0.6222,29
pjxuqwbj955,0.6207,30
pjxyqxbj347,0.6188,31
pjxrqxbj905,0.6187,32
pjxyqxbk723,0.6169,33
pjxyqwbk799,0.6089,34
pjxyqxbk746,0.6076,35
pjxyqxbj710,0.6041,36
pjxyqwbk511,0.6022,37
pjxyqxbl713,0.5994,38
pjxuqwbj799,0.5984,39
pjxyqwbj913,0.5978,40
pjxuqwbj701,0.5971,41
pjxrqxbj916,0.5961,42
pjxyqwbj876,0.5946,43
pjxyqxbl746,0.5937,44
pjxrqxbj914,0.5925,45
pjxyqxbk468,0.5909,46
pjxyqxbl723,0.5908,47
pjxsqxbj823,0.5904,48
pjxuqwbj695,0.5902,49
pjxyqwbj986,0.5871,50
pjxsqxbj751,0.5811,51
pjxyqwbk724,0.5796,52
pjxyqwbj924,0.579,53
pjxqzxbj982,0.5787,54
pjxyqwbk777,0.5778,55
pjxyqwbj692,0.5706,56
pjxyqwbk504,0.5679,57
pjxyqwbk920,0.5651,58
pjxyqwbk896,0.5648,59
