student_id,life_risk,study_risk,sport_risk,total_risk
pjxyqwbj673,0.96,0.9237,0.4206,0.7681
pjxyqwbj276,,0.9235,0.5503,0.7369
pjxyqxbk217,,0.8907,0.5185,0.7046
pjxyqwbk551,,0.9127,0.4962,0.7045
pjxrqxbj988,0.6936,0.8264,0.5322,0.6841
pjxuqwbj594,,0.9006,0.46,0.6803
pjxyqxbk140,0.5015,0.996,0.537,0.6782
pjxyqxbj762,0.9446,0.678,0.4101,0.6776
pjxyqwbj409,0.5015,0.9183,0.595,0.6716
pjwtqxbj971,0.9937,0.7046,0.2886,0.6623
pjxyqxbj448,0.5015,0.9581,0.5166,0.6587
pjxuzvbj991,0.5015,0.9189,0.54,0.6535
pjxyqwbj825,0.5015,0.9368,0.4976,0.6453
pjxyqxbj718,0.5015,0.9341,0.5003,0.6453
pjxqzxbj967,0.5015,0.9378,0.4964,0.6452
pjxyqwbk686,0.5015,0.9517,0.4819,0.645
pjxyqxbk685,,0.8325,0.4469,0.6397
pjxyqwbj288,,0.7913,0.4824,0.6368
pjxyqxbl755,,0.7524,0.5204,0.6364
pjxyqwbj397,0.5015,0.8598,0.5382,0.6331
pjxwxxbj963,0.5015,0.9344,0.4593,0.6317
pjxyqxbj048,0.5015,0.9491,0.4391,0.6299
pjxuqwbj861,0.5015,0.9674,0.4186,0.6292
pjxyqwbj542,0.5015,0.977,0.4085,0.629
pjxyqxbk257,0.5015,0.8716,0.5132,0.6288
pjxyqwbj659,0.5015,0.9769,0.4059,0.6281
pjxuqwbj974,0.5015,0.9198,0.4558,0.6257
pjxuqwbj497,0.5015,0.8224,0.5512,0.625
pjxyqwbj149,0.5015,0.8208,0.5443,0.6222
pjxuqwbj955,0.5015,0.8731,0.4875,0.6207
pjxyqxbj347,0.5015,0.8311,0.5239,0.6188
pjxrqxbj905,0.5015,0.7987,0.5559,0.6187
pjxyqxbk723,,0.7497,0.4841,0.6169
pjxyqwbk799,0.5015,0.9219,0.4034,0.6089
pjxyqxbk746,,0.8731,0.3421,0.6076
pjxyqxbj710,0.5015,0.7637,0.5471,0.6041
pjxyqwbk511,,0.7129,0.4915,0.6022
pjxyqxbl713,,0.7098,0.489,0.5994
pjxuqwbj799,0.5015,0.8624,0.4312,0.5984
pjxyqwbj913,,0.6777,0.5179,0.5978
pjxuqwbj701,0.5015,0.8966,0.3931,0.5971
pjxrqxbj916,0.5015,0.8872,0.3996,0.5961
pjxyqwbj876,0.5015,0.8616,0.4208,0.5946
pjxyqxbl746,,0.6561,0.5314,0.5937
pjxrqxbj914,,0.8094,0.3756,0.5925
pjxyqxbk468,0.5015,0.806,0.4652,0.5909
pjxyqxbl723,0.5015,0.6762,0.5947,0.5908
pjxsqxbj823,0.5015,0.8412,0.4284,0.5904
pjxuqwbj695,0.5015,0.8574,0.4117,0.5902
pjxyqwbj986,0.5015,0.8331,0.4268,0.5871
pjxsqxbj751,0.5015,0.8879,0.3538,0.5811
pjxyqwbk724,0.5015,0.8465,0.3909,0.5796
pjxyqwbj924,,0.6679,0.4901,0.579
pjxqzxbj982,0.5015,0.7452,0.4894,0.5787
pjxyqwbk777,,0.7153,0.4403,0.5778
pjxyqwbj692,0.5015,0.7487,0.4616,0.5706
pjxyqwbk504,0.5015,0.8263,0.376,0.5679
pjxyqwbk920,,0.6053,0.525,0.5651
pjxyqwbk896,0.995,0.2068,0.4925,0.5648
pjxuqwbj589,0.5015,0.8328,0.3543,0.5628
pjxyqxbl703,0.5015,0.6775,0.5091,0.5627
pjxuqwbj772,0.5015,0.6561,0.5278,0.5618
pjxyqxbk261,0.5015,0.6561,0.5249,0.5608
pjxyqxbl980,0.5015,0.5581,0.6154,0.5583
pjxyqwbj059,0.5015,0.76,0.4123,0.5579
pjxyqxbj743,0.5015,0.6561,0.5006,0.5527
pjxyqxbk895,0.5015,0.625,0.5258,0.5508
pjxyqxbk825,0.5015,0.5968,0.5358,0.5447
pjxsqxbj921,0.5015,0.6426,0.4892,0.5444
pjxyqxbj642,0.5015,0.5896,0.5391,0.5434
200307700011,,0.5427,,0.5427
pjxyqxbj054,0.9875,0.0834,0.5562,0.5424
pjxyqwbj971,0.5015,0.7184,0.4059,0.5419
pjxyqwbj625,0.5015,0.8121,0.3114,0.5416
pjxyqxbj980,0.5015,0.703,0.4193,0.5413
pjwrqxbj998,0.5015,0.6545,0.4638,0.5399
pjxuqwbj558,0.5015,0.6192,0.499,0.5399
pjxwxxbj924,0.5015,0.704,0.414,0.5398
pjxyqxbl789,0.5015,0.5754,0.5422,0.5397
pjxuqwbj492,0.5015,0.7138,0.4033,0.5395
pjxyqwbj585,0.5015,0.5522,0.5542,0.536
pjxpqxbj930,,0.4511,0.618,0.5345
pjxyqwbk510,0.9981,0.1439,0.4572,0.5331
pjxyqxbl839,0.9476,0.0386,0.6073,0.5312
pjxyqxbj327,0.5015,0.5163,0.5713,0.5297
pjxyqxbk505,0.989,0.0184,0.5741,0.5272
pjxyqxbj015,,0.5706,0.4816,0.5261
pjxyqxbj545,0.5015,0.619,0.457,0.5258
pjxyqwbj007,0.5015,0.5672,0.5084,0.5257
pjxxxxbj963,0.9175,0.242,0.4162,0.5252
pjxyqwbj253,0.5015,0.5469,0.5259,0.5248
pjxyqxbk419,0.5015,0.5426,0.5273,0.5238
pjxyqwbj664,0.9981,0.0982,0.4645,0.5203
pjwtqxbj942,0.5015,0.6821,0.376,0.5198
pjxyqxbj469,0.9987,0.0806,0.4795,0.5196
pjxuqwbj806,0.5015,0.551,0.5048,0.5191
pjxsqxbj864,0.5015,0.5959,0.4589,0.5188
pjxyqwbk622,0.5015,0.6152,0.4393,0.5186
pjxxztbj995,0.3823,0.7435,0.4274,0.5177
pjxuqwbj489,1.0,0.0193,0.5339,0.5177
pjxyqwbk859,0.5015,0.4671,0.5838,0.5175
pjxuqwbj988,0.9471,0.0752,0.53,0.5174
pjxyqxbl712,0.5015,0.5742,0.469,0.5149
pjxyqxbk501,0.5015,0.6046,0.4383,0.5148
pjxyqxbk370,0.9975,0.0316,0.5138,0.5143
pjxyqwbj941,0.8975,0.1705,0.4728,0.5136
pjxyqxbj827,0.8581,0.0656,0.6116,0.5118
pjxyqwbk922,1.0,0.0259,0.5094,0.5118
pjxyqxbk911,0.9778,0.0388,0.5132,0.51
pjxyqwbj248,0.9931,0.0918,0.4435,0.5095
pjxyqwbj193,0.985,0.0445,0.4955,0.5083
pjxyqxbj312,0.9975,0.0153,0.5076,0.5068
pjxtztbj985,,0.5933,0.4195,0.5064
pjxyqwbj305,0.9327,0.0259,0.5601,0.5062
pjxyqxbk445,0.965,0.0267,0.5259,0.5059
pjxpqxbj946,0.5015,0.5504,0.4623,0.5047
pjxyqwbj579,0.9871,0.0411,0.4854,0.5045
pjxyqwbj262,0.9457,0.0395,0.5261,0.5038
pjxuqwbj474,0.9587,0.0167,0.5357,0.5037
pjxyqxbl745,0.9327,0.0233,0.5527,0.5029
pjxyqwbj090,0.9925,0.0325,0.4835,0.5028
pjxyqwbj710,0.9692,0.0349,0.5039,0.5027
pjxyqxbj896,0.9599,0.0285,0.5193,0.5025
pjxyqwbj112,0.9969,0.0347,0.4742,0.5019
pjxyqxbk158,0.9789,0.1073,0.4171,0.5011
pjxyqxbl808,0.9673,0.0267,0.5065,0.5001
pjxyqwbj688,0.9049,0.0482,0.5422,0.4985
pjxyqwbj737,0.9825,0.0502,0.4625,0.4984
pjxyqwbj344,,0.4416,0.5527,0.4971
pjxuqwbj985,0.5015,0.4602,0.5287,0.4968
pjxyqwbj086,0.9871,0.1439,0.3572,0.4961
pjxpqxbj963,0.5015,0.543,0.4436,0.496
pjxyqwbj842,1.0,0.0487,0.4369,0.4952
pjxyqxbk228,0.5015,0.6561,0.324,0.4939
pjxyqwbj525,1.0,0.0701,0.4096,0.4932
pjxrqxbj963,0.52,0.4031,0.5555,0.4928
pjxyqwbk559,0.9737,0.1941,0.3106,0.4928
pjxyqwbj621,0.9969,0.0275,0.4492,0.4912
pjxyqwbj237,0.8586,0.1679,0.4459,0.4908
pjxsqxbj962,0.5015,0.5154,0.4546,0.4905
pjxyqxbj250,0.4863,0.5695,0.4153,0.4903
pjxrqxbj962,0.959,0.0278,0.4841,0.4903
pjxpqxbj944,1.0,0.0779,0.3925,0.4901
pjxyqxbk243,0.9825,0.0146,0.4694,0.4888
pjxyqxbj653,0.9964,0.0146,0.4549,0.4886
pjxuqwbj783,0.9297,0.0184,0.5134,0.4872
pjwrqxbj890,0.984,0.0571,0.42,0.487
pjxyqxbk195,,0.5599,0.414,0.487
pjxyqxbj290,0.9959,0.0244,0.4383,0.4862
pjxyqxbj261,0.9394,0.0244,0.4922,0.4853
pjxyqxbj337,0.96,0.0328,0.4614,0.4847
pjxyqxbl684,0.9969,0.0267,0.4267,0.4834
pjxyqxbl797,0.9726,0.0275,0.4465,0.4822
pjxyqwbk603,0.9925,0.0267,0.4273,0.4822
pjxyqxbl910,0.9349,0.0146,0.4912,0.4802
pjxyqxbl847,0.995,0.049,0.3957,0.4799
pjxyqxbk950,0.9825,0.0193,0.4341,0.4786
pjxyqxbk024,0.925,0.0184,0.4921,0.4785
pjxyqxbk319,0.9525,0.0193,0.4624,0.4781
pjxyqwbk700,0.9981,0.0267,0.4079,0.4776
pjxyqwbk736,0.9587,0.2115,0.2617,0.4773
pjxyqxbk065,0.93,0.0193,0.4821,0.4771
pjxyqxbk760,0.865,0.139,0.4268,0.4769
pjxyqwbj219,0.9463,0.0223,0.4613,0.4766
pjxyqxbj241,0.9975,0.0176,0.4142,0.4764
pjxyqwbj485,0.9653,0.0267,0.4363,0.4761
pjxyqxbk317,1.0,0.0201,0.4064,0.4755
pjxyqwbk991,0.995,0.0223,0.405,0.4741
pjxyqwbj054,0.9713,0.0325,0.416,0.4733
pjxyqxbk329,1.0,0.0093,0.4103,0.4732
pjxyqxbj433,0.9875,0.0267,0.4053,0.4731
pjxyqxbj207,1.0,0.0161,0.4022,0.4728
pjxyqxbj935,0.89,0.0156,0.5126,0.4727
pjxyqxbj818,0.8975,0.0485,0.4685,0.4715
pjxyqxbk458,0.9049,0.0277,0.4807,0.4711
pjxyqwbk807,0.5015,0.3303,0.5807,0.4708
pjxyqxbj521,0.99,0.0285,0.3936,0.4707
pjxyqxbj540,0.9213,0.0146,0.4742,0.47
pjxyqxbk705,0.5015,0.3741,0.5321,0.4692
pjxyqxbl929,0.9001,0.0308,0.4744,0.4685
pjxyqwbj100,0.9938,0.0516,0.3597,0.4683
pjxpqxbj977,0.9975,0.0648,0.3426,0.4683
pjxyqwbj154,0.9981,0.0278,0.3772,0.4677
pjxyqwbj192,0.5015,0.3786,0.522,0.4674
pjxyqwbj464,0.9925,0.0308,0.3783,0.4672
pjxyqwbj985,0.9979,0.0267,0.3717,0.4654
pjxyqxbk076,0.965,0.0267,0.4036,0.4651
pjxyqxbk486,0.9225,0.0852,0.3866,0.4648
pjxsqxbj906,0.9975,0.0156,0.3808,0.4646
pjxyqxbk578,0.994,0.0146,0.3851,0.4646
pjxyqxbl896,,0.4797,0.4494,0.4646
pjxyqxbj096,0.9861,0.0153,0.3905,0.464
pjxyqwbk720,0.92,0.0349,0.4363,0.4637
pjxqzxbj975,0.9689,0.0313,0.3902,0.4635
pjxyqwbj741,0.94,0.0281,0.4199,0.4627
pjxyqwbk666,0.8858,0.1407,0.361,0.4625
pjxyqxbk980,0.9728,0.0184,0.3955,0.4623
pjxsqxbj876,1.0,0.0182,0.3658,0.4613
pjxyqxbk655,1.0,0.0233,0.3584,0.4606
pjxyqwbj695,0.9406,0.0257,0.4145,0.4602
pjxyqxbk816,0.8581,0.0327,0.4877,0.4595
pjxsqxbj944,0.9725,0.0328,0.3723,0.4592
pjxyqxbk019,0.9662,0.0195,0.3919,0.4592
pjxyqxbj570,0.9906,0.0267,0.3603,0.4592
pjxyqxbl866,0.8639,0.0165,0.4963,0.4589
pjxyqxbj113,1.0,0.0208,0.3556,0.4588
pjxyqwbj129,0.9225,0.0157,0.437,0.4584
pjxyqwbj293,0.9275,0.0322,0.4152,0.4583
pjxsqxbj829,0.9875,0.0167,0.3699,0.458
pjxyqxbk606,0.9456,0.0277,0.4008,0.458
pjxyqxbk791,0.98,0.0195,0.3739,0.4578
pjxyqxbj119,,0.4574,0.4557,0.4566
pjxuqwbj800,0.9728,0.0146,0.3808,0.456
pjxyqxbk398,0.9692,0.0154,0.3805,0.455
pjxyqxbk662,0.965,0.0093,0.3908,0.455
pjwtqxbj914,1.0,0.0145,0.3495,0.4547
pjxyqxbk621,0.9975,0.0093,0.3561,0.4543
pjxyqxbj419,0.999,0.0146,0.3471,0.4536
pjxyqxbk965,0.8752,0.0244,0.461,0.4536
pjxyqxbk101,0.97,0.0249,0.3655,0.4535
pjxyqxbj012,0.8928,0.0281,0.4392,0.4534
pjxyqxbk865,0.9789,0.0195,0.3617,0.4533
pjxyqwbj640,0.9662,0.0267,0.3668,0.4532
pjxyqxbk000,0.5015,0.1439,0.7124,0.4526
pjxyqxbk391,0.5015,0.5204,0.3358,0.4526
pjxqqxbj985,0.9812,0.0445,0.3299,0.4519
pjxuqwbj784,0.9975,0.0162,0.3417,0.4518
pjxyqxbj947,0.9119,0.0316,0.4117,0.4517
pjwuzxbj992,0.9599,0.0249,0.3695,0.4514
pjxyqxbk415,0.9525,0.0167,0.384,0.4511
