sid,term_id,cluster
pjvyzvfj974,2020-2021-T1,2
pjvyzvfj977,2020-2021-T1,2
pjvyzvfj989,2020-2021-T1,2
pjvyzvfj994,2020-2021-T1,2
pjvyzvfj998,2020-2021-T1,2
pjvyzxbj993,2020-2021-T1,1
pjvyzxbj995,2020-2021-T1,1
pjvyzxbj997,2020-2021-T1,1
pjvyzxbj998,2020-2021-T1,1
pjwqzwbj998,2020-2021-T1,1
pjwrqxbj882,2020-2021-T1,3
pjwrqxbj884,2020-2021-T1,1
pjwrqxbj890,2020-2021-T1,1
pjwrqxbj898,2020-2021-T1,1
pjwrqxbj901,2020-2021-T1,3
pjwrqxbj905,2020-2021-T1,1
pjwrqxbj911,2020-2021-T1,1
pjwrqxbj913,2020-2021-T1,1
pjwrqxbj916,2020-2021-T1,1
pjwrqxbj918,2020-2021-T1,3
pjwrqxbj919,2020-2021-T1,1
pjwrqxbj920,2020-2021-T1,1
pjwrqxbj923,2020-2021-T1,1
pjwrqxbj924,2020-2021-T1,1
pjwrqxbj925,2020-2021-T1,1
pjwrqxbj926,2020-2021-T1,1
pjwrqxbj929,2020-2021-T1,1
pjwrqxbj932,2020-2021-T1,1
pjwrqxbj935,2020-2021-T1,3
pjwrqxbj938,2020-2021-T1,1
pjwrqxbj944,2020-2021-T1,3
pjwrqxbj945,2020-2021-T1,1
pjwrqxbj948,2020-2021-T1,1
pjwrqxbj949,2020-2021-T1,1
pjwrqxbj951,2020-2021-T1,1
pjwrqxbj952,2020-2021-T1,3
pjwrqxbj955,2020-2021-T1,1
pjwrqxbj956,2020-2021-T1,1
pjwrqxbj965,2020-2021-T1,1
pjwrqxbj967,2020-2021-T1,1
pjwrqxbj973,2020-2021-T1,1
pjwrqxbj974,2020-2021-T1,1
pjwrqxbj977,2020-2021-T1,1
pjwrqxbj978,2020-2021-T1,1
pjwrqxbj979,2020-2021-T1,1
pjwrqxbj980,2020-2021-T1,3
pjwrqxbj983,2020-2021-T1,1
pjwrqxbj984,2020-2021-T1,3
pjwrqxbj985,2020-2021-T1,1
pjwrqxbj988,2020-2021-T1,1
pjwrqxbj991,2020-2021-T1,3
pjwrqxbj992,2020-2021-T1,1
pjwrqxbj993,2020-2021-T1,1
pjwrqxbj994,2020-2021-T1,1
pjwrqxbj998,2020-2021-T1,1
pjwrzxbj996,2020-2021-T1,1
pjwtqxbj913,2020-2021-T1,3
pjwtqxbj914,2020-2021-T1,3
pjwtqxbj918,2020-2021-T1,1
pjwtqxbj920,2020-2021-T1,3
