sid,term_id,year_start,semester,term_order,club_event_count,club_active_flag,lib_visit_count,lib_unique_gate,door_event_count,door_unique_ctrl
pjvyzxbj995,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjvyzxbj997,2020-2021-T2,2020,2,20202,20,1,0.0,,0.0,
pjvyzxbj998,2020-2021-T2,2020,2,20202,36,1,0.0,,0.0,
pjwqzwbj998,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjwrqxbj882,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwrqxbj884,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwrqxbj890,2020-2021-T2,2020,2,20202,8,1,150.0,7.0,0.0,
pjwrqxbj901,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwrqxbj905,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjwrqxbj911,2020-2021-T2,2020,2,20202,8,1,7.0,3.0,0.0,
pjwrqxbj913,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjwrqxbj916,2020-2021-T2,2020,2,20202,12,1,0.0,,0.0,
pjwrqxbj918,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwrqxbj920,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwrqxbj923,2020-2021-T2,2020,2,20202,2,0,15.0,4.0,0.0,
pjwrqxbj924,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjwrqxbj925,2020-2021-T2,2020,2,20202,26,1,0.0,,0.0,
pjwrqxbj926,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwrqxbj929,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwrqxbj932,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwrqxbj935,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwrqxbj938,2020-2021-T2,2020,2,20202,6,1,0.0,,0.0,
pjwrqxbj944,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjwrqxbj948,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjwrqxbj949,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjwrqxbj951,2020-2021-T2,2020,2,20202,14,1,0.0,,0.0,
pjwrqxbj955,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjwrqxbj956,2020-2021-T2,2020,2,20202,18,1,0.0,,0.0,
pjwrqxbj965,2020-2021-T2,2020,2,20202,22,1,0.0,,0.0,
pjwrqxbj967,2020-2021-T2,2020,2,20202,10,1,0.0,,0.0,
pjwrqxbj973,2020-2021-T2,2020,2,20202,4,1,9.0,3.0,0.0,
pjwrqxbj974,2020-2021-T2,2020,2,20202,8,1,0.0,,0.0,
pjwrqxbj977,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwrqxbj978,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
pjwrqxbj979,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwrqxbj980,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwrqxbj983,2020-2021-T2,2020,2,20202,2,0,0.0,,0.0,
pjwrqxbj984,2020-2021-T2,2020,2,20202,4,1,0.0,,0.0,
