student_id,life_risk,study_risk,sport_risk,total_risk
pjwtqxbj965,1.0,,,1.0
pjxpqxbj944,1.0,,,1.0
pjxuqwbj474,1.0,,,1.0
pjxuqwbj800,1.0,,,1.0
pjxyqwbk826,1.0,,,1.0
pjxyqxbj241,1.0,,,1.0
pjxyqxbk414,1.0,,,1.0
pjxyqxbk680,1.0,,,1.0
pjxyqxbj469,0.9987,,,0.9987
pjxrqxbj962,0.9981,,,0.9981
pjxuqwbj585,0.9981,,,0.9981
pjxyqxbj419,0.9981,,,0.9981
pjxyqxbj679,0.9981,,,0.9981
pjxyqxbl797,0.9981,,,0.9981
pjxyqwbj100,0.9975,,,0.9975
pjxyqxbk520,0.9975,,,0.9975
pjxyqxbj290,0.9959,,,0.9959
pjxrqxbj903,0.995,,,0.995
pjxyqwbj088,0.9935,,,0.9935
pjxyqwbj248,0.9931,,,0.9931
pjxyqxbj681,0.9902,,,0.9902
pjxuqwbj714,0.9871,,,0.9871
pjxyqwbj086,0.9871,,,0.9871
pjxqqxbj985,0.9816,,,0.9816
pjxyqxbj054,0.98,,,0.98
pjxyqxbl673,0.979,,,0.979
pjxyqxbj658,0.9775,,,0.9775
pjxyqxbk501,,0.97,,0.97
pjxyqxbj955,0.9672,,,0.9672
pjxyqwbj485,0.9653,,,0.9653
pjxuqwbj783,0.96,,,0.96
pjxyqwbj646,0.9575,,,0.9575
pjxyqxbj895,0.9575,,,0.9575
pjxxxxbj955,0.9488,,,0.9488
pjxrqxbj955,0.9471,,,0.9471
pjxuqwbj778,0.9471,,,0.9471
pjxyqxbk980,0.9456,,,0.9456
pjxuqwbj770,0.9444,,,0.9444
pjxyqxbl737,0.9444,,,0.9444
pjxyqwbk893,0.9443,,,0.9443
pjxyqxbl808,0.9411,,,0.9411
pjxyqxbk101,0.94,,,0.94
pjxyqxbk630,0.94,,,0.94
pjxyqxbj151,0.9389,,,0.9389
pjxpqxbj915,0.9327,,,0.9327
pjxsqxbj916,0.9327,,,0.9327
pjxyqxbk350,0.9327,,,0.9327
pjxyqwbj732,0.9308,,,0.9308
pjxpqxbj937,0.9301,,,0.9301
pjxyqxbl839,0.9263,,,0.9263
pjxuqwbj818,0.925,,,0.925
pjxyqxbk798,0.925,,,0.925
pjxuqwbj591,0.9235,,,0.9235
pjxuqwbj666,0.9213,,,0.9213
pjxuqwbj837,0.921,,,0.921
pjxyqxbj762,0.9074,,,0.9074
pjxrqxbj990,0.9049,,,0.9049
pjxyqxbk458,0.9049,,,0.9049
pjxsqxbj971,0.9024,,,0.9024
pjxyqxbk065,0.9024,,,0.9024
pjxyqwbj219,0.8975,,,0.8975
pjxyqxbk723,,0.8975,,0.8975
pjxyqxbl929,0.8958,,,0.8958
pjxqqxbj957,0.8953,,,0.8953
pjxqqxbj964,0.887,,,0.887
pjxyqxbj261,0.882,,,0.882
pjxyqxbl817,0.872,,,0.872
pjxyqwbj237,0.8586,,,0.8586
pjxyqwbk756,0.8475,,,0.8475
pjxuqwbj500,0.8355,,,0.8355
pjxqqxbj982,0.8129,,,0.8129
pjxyqxbk070,0.8129,,,0.8129
pjxuqwbj528,0.8075,,,0.8075
pjxyqwbk544,0.802,,,0.802
pjxyqwbj166,0.7847,,,0.7847
pjxrqxbj943,0.775,,,0.775
pjxyqwbk686,,0.925,0.6123,0.7686
pjxyqxbj198,0.765,,,0.765
pjxyqxbl688,,0.8475,0.6752,0.7613
pjxyqxbj718,,0.895,0.5944,0.7447
pjxsqxbj864,,0.9142,0.5449,0.7296
pjxyqxbl712,,0.7225,,0.7225
pjxuqwbj861,,0.7042,,0.7042
pjxrqxbj905,,0.955,0.4437,0.6993
pjxuqwbj847,,0.6917,,0.6917
pjxyqxbj709,,0.8825,0.4306,0.6566
pjxyqxbj566,,0.6542,,0.6542
pjxuqwbj497,,0.65,,0.65
pjxyqwbk622,,0.65,,0.65
pjxyqxbj169,,0.645,,0.645
pjxsqxbj921,,0.9125,0.3709,0.6417
pjxyqwbj913,,0.915,0.3664,0.6407
pjxyqwbj397,,0.8,0.455,0.6275
pjxyqwbj632,,0.235,1.0,0.6175
pjxrqxbj957,0.6088,,,0.6088
pjxyqxbj399,,0.6069,,0.6069
pjxyqxbl830,0.6068,,,0.6068
pjxyqxbl723,,0.705,0.5082,0.6066
pjxuqwbj606,0.6063,,,0.6063
pjxyqxbk631,,0.6,,0.6
pjxyqxbk839,,0.745,0.455,0.6
pjxuqwbj631,,0.5942,0.6039,0.5991
pjxyqwbk777,,0.7837,0.4072,0.5954
pjxyqwbj288,,0.7925,0.3925,0.5925
pjxyqxbk079,0.591,,,0.591
pjxuqwbj831,0.5015,0.675,,0.5882
pjxpqxbj920,,0.5817,,0.5817
pjxyqwbj888,,0.5775,,0.5775
pjxyqxbl716,,0.5725,,0.5725
pjxyqxbl763,,0.8245,0.3195,0.572
pjxqqxbj961,0.5582,,,0.5582
pjxyqxbk644,0.5582,,,0.5582
pjxyqwbj380,,0.6875,0.4196,0.5536
pjxyqxbl678,,0.55,,0.55
pjxyqxbk080,,0.6817,0.4172,0.5495
pjxyqxbl796,0.5481,,,0.5481
pjxuqwbj586,0.5015,0.5925,,0.547
pjxyqxbl828,0.545,,,0.545
pjxyqxbk500,,0.5425,,0.5425
pjxyqxbj710,0.5015,0.5775,,0.5395
pjxyqxbj159,0.5158,,,0.5158
pjxyqxbj162,,0.5075,,0.5075
pjxyqwbj579,,0.6184,0.3848,0.5016
pjwrqxbj911,0.5015,,,0.5015
pjwrqxbj916,0.5015,,,0.5015
pjwrqxbj949,0.5015,,,0.5015
pjwrqxbj951,0.5015,,,0.5015
pjwrqxbj985,0.5015,,,0.5015
pjwrqxbj993,0.5015,,,0.5015
pjwtqxbj922,0.5015,,,0.5015
pjwtqxbj925,0.5015,,,0.5015
pjwtqxbj935,0.5015,,,0.5015
pjwtqxbj954,0.5015,,,0.5015
pjwtqxbj974,0.5015,,,0.5015
pjwtqxbj998,0.5015,,,0.5015
pjxpqxbj925,0.5015,,,0.5015
pjxpqxbj932,0.5015,,,0.5015
pjxpqxbj941,0.5015,,,0.5015
pjxpqxbj962,0.5015,,,0.5015
pjxpqxbj963,0.5015,,,0.5015
pjxpqxbj981,0.5015,,,0.5015
pjxqqxbj951,0.5015,,,0.5015
pjxqqxbj954,0.5015,,,0.5015
pjxqqxbj969,0.5015,,,0.5015
pjxqqxbj970,0.5015,,,0.5015
pjxqqxbj975,0.5015,,,0.5015
pjxqqxbj977,0.5015,,,0.5015
pjxqqxbj981,0.5015,,,0.5015
pjxqqxbj983,0.5015,,,0.5015
pjxqqxbj986,0.5015,,,0.5015
pjxqqxbj989,0.5015,,,0.5015
pjxqqxbj991,0.5015,,,0.5015
pjxqqxbj997,0.5015,,,0.5015
pjxqzxbj980,0.5015,,,0.5015
pjxqzxbj984,0.5015,,,0.5015
pjxqzxbj985,0.5015,,,0.5015
pjxqzxbj989,0.5015,,,0.5015
pjxqzxbj994,0.5015,,,0.5015
pjxqzxbj996,0.5015,,,0.5015
pjxrqxbj894,0.5015,,,0.5015
pjxrqxbj898,0.5015,,,0.5015
pjxrqxbj901,0.5015,,,0.5015
pjxrqxbj908,0.5015,,,0.5015
pjxrqxbj909,0.5015,,,0.5015
pjxrqxbj911,0.5015,,,0.5015
pjxrqxbj918,0.5015,,,0.5015
pjxrqxbj928,0.5015,,,0.5015
pjxrqxbj930,0.5015,,,0.5015
pjxrqxbj937,0.5015,,,0.5015
