feature_name,feature_type
XB,categorical
MZMC,categorical
ZZMMMC,categorical
JG,numeric
XSM,categorical
ZYM,categorical
internet_early_trend,numeric
internet_early_volatility,numeric
internet_early_continuity,numeric
internet_early_deviation,numeric
internet_early_cv,numeric
club_early_trend,numeric
club_early_continuity,numeric
library_early_trend,numeric
library_early_volatility,numeric
library_early_continuity,numeric
library_early_weekend_ratio,numeric
gate_early_trend,numeric
gate_early_volatility,numeric
gate_early_continuity,numeric
gate_early_weekend_ratio,numeric
behavior_rhythm_gap,numeric
internet_library_interaction,numeric
late_gate_internet_interaction,numeric
club_library_balance,numeric
