XH,TERM_ID,NEXT_TERM_ID,LABEL,LABEL_REASON
pjxyqxbj566,2024-2025-1,2024-2025-2,0,next_term_normal
pjxyqxbj492,2024-2025-1,2024-2025-2,0,next_term_normal
pjwrqxbj926,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbj973,2023-2024-1,2023-2024-2,0,next_term_normal
pjxyqxbj972,2023-2024-1,2023-2024-2,0,next_term_normal
pjxyqxbj969,2022-2023-2,2023-2024-1,0,next_term_normal
pjxyqxbj969,2023-2024-1,2023-2024-2,0,next_term_normal
pjxuqwbj786,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqwbk826,2020-2021-1,2020-2021-2,0,next_term_normal
pjxvztfj985,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbk631,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbj584,2020-2021-1,2020-2021-2,0,next_term_normal
pjxuqwbj861,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxxzxkj983,2020-2021-1,2020-2021-2,0,next_term_normal
pjxxxxbj986,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqwbj877,2020-2021-1,2020-2021-2,0,next_term_normal
pjxuqwbj495,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqwbj006,2020-2021-1,2020-2021-2,0,next_term_normal
pjxwzxkj989,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk426,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk434,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbk978,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxyqxbk941,2020-2021-1,2020-2021-2,1,next_term_fail_or_low_average
pjxxxxbj910,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbj080,2020-2021-1,2020-2021-2,0,next_term_normal
pjxyqxbj955,2020-2021-2,2021-2022-1,0,next_term_normal
pjxuqwbj551,2020-2021-2,2021-2022-1,0,next_term_normal
pjxyqxbj761,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbk253,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqwbj884,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
pjxyqxbk778,2020-2021-2,2021-2022-1,1,next_term_fail_or_low_average
