XH,TERM_ID,NEXT_TERM_ID,LABEL,LABEL_SUBTYPE,LABEL_REASON
pjxyqxbj566,2024-2025-1,2024-2025-2,0,normal,next_term_normal
pjxyqxbj492,2024-2025-1,2024-2025-2,0,normal,next_term_normal
pjwrqxbj926,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbj973,2023-2024-1,2023-2024-2,0,normal,next_term_normal
pjxyqxbj972,2023-2024-1,2023-2024-2,0,normal,next_term_normal
pjxyqxbj969,2022-2023-2,2023-2024-1,0,normal,next_term_normal
pjxyqxbj969,2023-2024-1,2023-2024-2,0,normal,next_term_normal
pjxuqwbj786,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqwbk826,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxvztfj985,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqwbk631,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbj584,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxuqwbj861,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxxzxkj983,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxxxxbj986,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqwbj877,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxuqwbj495,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqwbj006,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxwzxkj989,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk426,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk434,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbk978,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxyqxbk941,2020-2021-1,2020-2021-2,1,single_fail,next_term_single_fail
pjxxxxbj910,2020-2021-2,2021-2022-1,1,single_fail,next_term_single_fail
pjxyqxbj080,2020-2021-1,2020-2021-2,0,normal,next_term_normal
pjxyqxbj955,2020-2021-2,2021-2022-1,0,normal,next_term_normal
pjxuqwbj551,2020-2021-2,2021-2022-1,0,normal,next_term_normal
