feature_name,feature_layer
FEATURE_GRADE_COURSE_COUNT,core
FEATURE_GRADE_AVG_SCORE,core
FEATURE_GRADE_MIN_SCORE,core
FEATURE_GRADE_FAIL_COUNT,core
FEATURE_GRADE_CREDIT_SUM,core
FEATURE_COURSE_SELECTED_COUNT,core
FEATURE_COURSE_CREDIT_SUM,core
FEATURE_LIBRARY_VISIT_COUNT,behavior
consecutive_decline_grade_avg_score,temporal
dist_from_worst_grade_avg_score,temporal
recovery_grade_avg_score,temporal
consecutive_decline_grade_fail_count,temporal
dist_from_worst_grade_fail_count,temporal
recovery_grade_fail_count,temporal
dist_from_worst_attendance_abnormal_rate,temporal
consecutive_decline_library_visit_count,temporal
dist_from_worst_library_visit_count,temporal
recovery_library_visit_count,temporal
cross__feature_grade_avg_score__x__feature_course_selected_count,interaction
cross__feature_assignment_score_avg__x__feature_exam_score_avg,interaction
cross__feature_library_visit_count__x__feature_grade_avg_score,interaction
cross__delta_grade_avg_score__x__feature_course_selected_count,interaction
discordance_attendance_grade,interaction
discordance_effort_result,interaction
workload_stress,interaction
trend_decline_count_grade_avg,temporal
trend_below_hist_grade_avg,temporal
trend_drawdown_grade_avg,temporal
personal_gap_grade_avg,core
trend_decline_count_exam_score,temporal
trend_below_hist_exam_score,temporal
trend_decline_count_library_visit,temporal
trend_below_hist_library_visit,temporal
feature_behavior_coverage_count,core
feature_temporal_coverage_count,core
feature_behavior_missing_ratio,core
feature_has_complete_recent_windows,temporal
imbalance_attendance_stable_study_drop,behavior
course_risk_min_score,temporal
course_risk_avg_min_gap,temporal
course_risk_fail_count,temporal
course_risk_distance_to_60,temporal
course_risk_min_distance_to_60,temporal
course_risk_near_fail,temporal
course_risk_marginal_pass_count,temporal
course_risk_multi_course_danger,temporal
course_risk_dispersion,temporal
course_risk_dispersion_coef,temporal
course_risk_score_variance,temporal
course_risk_weakest_gap_to_60,temporal
course_risk_weakest_gap_to_70,temporal
course_risk_bottleneck_severity,temporal
course_risk_bottleneck_ratio,temporal
course_risk_fail_rate,temporal
discordance_library_grade,interaction
course_risk_consecutive_decline,temporal
